frame_number,avg_ear,pitch,yaw,status,face_detected
330,0.2278,2.14,9.87,ALERTT,True
331,0.1863,1.41,10.05,DROWSY,True
332,0.1992,2.54,12.42,DROWSY,True
333,0.2128,1.74,14.38,DROWSY,True
334,0.2086,0.92,13.33,DROWSY,True
335,0.1402,1.41,12.21,DROWSY,True
336,0.0228,1.64,10.54,DROWSY,True
337,0.2001,2.05,12.08,DROWSY,True
338,0.2522,1.27,7.84,ALERTT,True
339,0.263,0.99,3.38,ALERTT,True
340,0.2653,1.26,0.91,ALERTT,True
341,0.2774,1.38,-0.03,ALERTT,True
342,0.269,1.8,-0.78,ALERTT,True
343,0.2708,2.05,2.09,ALERTT,True
344,0.2718,2.18,3.09,ALERTT,True
345,0.2792,3.66,1.94,ALERTT,True
346,0.3071,4.95,5.86,ALERTT,True
347,0.2994,7.36,7.27,ALERTT,True
348,0.3157,8.97,6.0,ALERTT,True
349,0.3218,10.35,3.93,ALERTT,True
350,0.318,10.12,1.78,ALERTT,True
351,0.1494,8.72,1.07,DROWSY,True
352,0.1805,-1.26,-16.13,DROWSY,True
353,0.1863,-3.12,19.04,DROWSY,True
354,0.1811,16.07,5.45,DROWSY,True
355,0.1707,22.51,7.87,DROWSY,True
356,0.1487,28.86,8.7,DROWSY,True
357,0.1434,32.6,1.92,DROWSY,True
358,0.147,31.49,3.77,DROWSY,True
359,0.267,25.46,4.79,DISTRACTED,True
360,0.2914,27.4,5.62,DISTRACTED,True
361,0.2831,26.92,5.06,DISTRACTED,True
362,0.2821,27.07,6.77,DISTRACTED,True
363,0.2781,24.71,5.73,DISTRACTED,True
364,0.2857,22.69,4.47,DISTRACTED,True
365,0.2915,22.67,2.37,DISTRACTED,True
366,0.3099,22.72,-0.23,DISTRACTED,True
367,0.3067,10.78,0.0,ALERTT,True
368,0.1305,16.97,5.48,DROWSY,True
369,0.1509,15.49,7.2,DROWSY,True
370,0.292,12.46,5.18,ALERTT,True
371,0.2856,10.78,4.79,ALERTT,True
372,0.2706,9.11,3.7,ALERTT,True
373,0.0445,8.64,2.21,DROWSY,True
374,0.1097,5.45,6.58,DROWSY,True
375,0.2438,4.32,9.79,ALERTT,True
376,0.2575,4.0,8.62,ALERTT,True
377,0.2545,3.3,8.26,ALERTT,True
378,0.2617,3.93,5.64,ALERTT,True
379,0.2609,2.08,4.94,ALERTT,True
380,0.2571,0.73,1.42,ALERTT,True
381,0.254,-0.21,2.08,ALERTT,True
382,0.2474,-0.64,2.28,ALERTT,True
383,0.2282,-0.82,0.9,ALERTT,True
384,0.0155,-3.66,0.62,DROWSY,True
385,0.1241,-1.25,0.23,DROWSY,True
386,0.1999,-0.69,-1.95,DROWSY,True
387,0.2039,-1.66,-6.16,DROWSY,True
388,0.2124,-0.95,-2.42,DROWSY,True
